,AirportCode,City,Lat,Long
0,ABQ,Albuquerque,35.0402,-106.609
1,ACK,Nantucket,41.2531,-70.06
2,ACV,Arcata/Eureka,40.9781,-124.1086
3,AGS,Augusta,33.3699,-81.9645
4,ALB,Albany,42.7483,-73.8017
5,ATL,Atlanta,33.6407,-84.4277
6,ATW,Appleton,44.2581,-88.5196
7,ATY,Watertown,44.914,-97.1534
8,AUS,Austin,30.1975,-97.6664
9,AVL,Asheville,35.4362,-82.5418
10,AVP,Scranton,41.3385,-75.7234
11,BDL,Hartford,41.9389,-72.6832
12,BFD,Bradford,41.8003,-78.6401
13,BFL,Bakersfield,35.4336,-119.0568
14,BGR,Bangor,44.8074,-68.8281
15,BHM,Birmingham,33.5629,-86.7535
16,BIL,Billings,45.8077,-108.5428
17,BJC,Broomfield,39.9088,-105.1172
18,BNA,Nashville,36.1245,-86.6782
19,BOI,Boise,43.5644,-116.2228
20,BOS,Boston,42.3656,-71.0096
21,BTR,Baton Rouge,30.5332,-91.1496
22,BTV,Burlington,44.4719,-73.1533
23,BUF,Buffalo,42.9405,-78.7322
24,BUR,Burbank,34.2007,-118.3587
25,BWI,Baltimore,39.1754,-76.6682
26,BZN,Bozeman,45.7775,-111.1603
27,CAE,Columbia (SC),33.9388,-81.1195
28,CEZ,Cortez,37.303,-108.6278
29,CHA,Chattanooga,35.0353,-85.2038
30,CHO,Charlottesville,38.1386,-78.4529
31,CHS,Charleston,32.8986,-80.0405
32,CID,Cedar Rapids,41.8847,-91.7108
33,CKB,Clarksburg,39.2966,-80.2281
34,CLE,Cleveland,41.4117,-81.8498
35,CLT,Charlotte,35.214,-80.9431
36,CMH,Columbus (OH),39.998,-82.8919
37,CNM,Carlsbad,32.3375,-104.2633
38,COS,Colorado Springs,38.8058,-104.7008
39,COU,Columbia (MO),38.8181,-92.2196
40,CSG,Columbus (GA),32.5163,-84.9389
41,CVG,Cincinnati,39.0488,-84.6678
42,CVN,Clovis,34.4248,-103.0793
43,DAL,Dallas (Love Field),32.8471,-96.8518
44,DAY,Dayton,39.9024,-84.2194
45,DCA,Washington (Reagan),38.8521,-77.0377
46,DEN,Denver,39.8561,-104.6737
47,DFW,Dallas/Fort Worth,32.8998,-97.0403
48,DSI,Destin,30.3501,-86.4717
49,DSM,Des Moines,41.534,-93.6631
50,DTW,Detroit,42.2124,-83.3534
51,DUJ,DuBois,41.1783,-78.8987
52,ELD,El Dorado,33.221,-92.8133
53,ELP,El Paso,31.8072,-106.3779
54,EUG,Eugene,44.1246,-123.2119
55,EVV,Evansville,38.0369,-87.5324
56,EWR,Newark,40.6895,-74.1745
57,EYW,Key West,24.5561,-81.7596
58,FAT,Fresno,36.7762,-119.7182
59,FAY,Fayetteville (NC),34.9912,-78.8803
60,FCA,Kalispell,48.3105,-114.256
61,FLL,Fort Lauderdale,26.0726,-80.1527
62,FNT,Flint,42.9654,-83.7436
63,FSD,Sioux Falls,43.582,-96.7419
